Date,regime_pdrc
2002-01-04,Illiquid
2002-01-07,Illiquid
2002-01-08,Illiquid
2002-01-09,Illiquid
2002-01-10,Illiquid
2002-01-11,Illiquid
2002-01-14,Illiquid
2002-01-15,Illiquid
2002-01-16,Illiquid
2002-01-17,Illiquid
2002-01-18,Illiquid
2002-01-22,Illiquid
2002-01-23,Illiquid
2002-01-24,Stable
2002-01-25,Stable
2002-01-28,Stable
2002-01-29,Illiquid
2002-01-30,Illiquid
2002-01-31,Crisis
2002-02-01,Crisis
2002-02-04,Illiquid
2002-02-05,Illiquid
2002-02-06,Stable
2002-02-07,Illiquid
2002-02-08,Illiquid
2002-02-11,Crisis
2002-02-12,Crisis
2002-02-13,Crisis
2002-02-14,Crisis
2002-02-15,Crisis
2002-02-19,Illiquid
2002-02-20,Crisis
2002-02-21,Crisis
2002-02-22,Crisis
2002-02-25,Crisis
2002-02-26,Crisis
2002-02-27,Crisis
2002-02-28,Crisis
2002-03-01,Crisis
2002-03-04,Crisis
2002-03-05,Crisis
2002-03-06,Crisis
2002-03-07,Crisis
2002-03-08,Crisis
2002-03-11,RiskOn
2002-03-12,Crisis
2002-03-13,Crisis
2002-03-14,Crisis
2002-03-15,Crisis
2002-03-18,Crisis
2002-03-19,Crisis
2002-03-20,Crisis
2002-03-21,Crisis
2002-03-22,Crisis
2002-03-25,Crisis
2002-03-26,Crisis
2002-03-27,Crisis
2002-03-28,Crisis
2002-04-01,Crisis
2002-04-02,Crisis
2002-04-03,Stable
2002-04-04,Stable
2002-04-05,Stable
2002-04-08,Stable
2002-04-09,Stable
2002-04-10,Crisis
2002-04-11,Stable
2002-04-12,Crisis
2002-04-15,Crisis
2002-04-16,Crisis
2002-04-17,Crisis
2002-04-18,Crisis
2002-04-19,Crisis
2002-04-22,Crisis
2002-04-23,Crisis
2002-04-24,Stable
2002-04-25,Stable
2002-04-26,Stable
2002-04-29,Stable
2002-04-30,Stable
2002-05-01,Crisis
2002-05-02,Stable
2002-05-03,Crisis
2002-05-06,RiskOn
2002-05-07,RiskOn
2002-05-08,Crisis
2002-05-09,Stable
2002-05-10,Fragile
2002-05-13,Stable
2002-05-14,Stable
2002-05-15,Crisis
2002-05-16,Crisis
2002-05-17,Crisis
2002-05-20,Stable
2002-05-21,Stable
2002-05-22,Stable
2002-05-23,Stable
2002-05-24,Stable
2002-05-28,Stable
2002-05-29,Stable
2002-05-30,Stable
2002-05-31,Stable
2002-06-03,Illiquid
2002-06-04,Illiquid
2002-06-05,Illiquid
2002-06-06,Illiquid
2002-06-07,Fragile
2002-06-10,Fragile
2002-06-11,RiskOn
2002-06-12,RiskOn
2002-06-13,RiskOn
2002-06-14,RiskOn
2002-06-17,Fragile
2002-06-18,Fragile
2002-06-19,Volatile
2002-06-20,Volatile
2002-06-21,RiskOn
2002-06-24,RiskOn
2002-06-25,RiskOn
2002-06-26,RiskOn
2002-06-27,RiskOn
2002-06-28,RiskOn
2002-07-01,RiskOn
2002-07-02,RiskOn
2002-07-03,RiskOn
2002-07-05,Illiquid
2002-07-08,Illiquid
2002-07-09,Illiquid
2002-07-10,Illiquid
2002-07-11,Illiquid
2002-07-12,Illiquid
2002-07-15,Volatile
2002-07-16,Illiquid
2002-07-17,Volatile
2002-07-18,RiskOn
2002-07-19,RiskOn
2002-07-22,RiskOn
2002-07-23,RiskOn
2002-07-24,Illiquid
2002-07-25,RiskOn
2002-07-26,Illiquid
2002-07-29,Illiquid
2002-07-30,Illiquid
2002-07-31,Illiquid
2002-08-01,Illiquid
2002-08-02,Illiquid
2002-08-05,Crisis
2002-08-06,Illiquid
2002-08-07,Illiquid
2002-08-08,Illiquid
2002-08-09,Illiquid
2002-08-12,Stable
2002-08-13,Illiquid
2002-08-14,Illiquid
2002-08-15,Illiquid
2002-08-16,Illiquid
2002-08-19,Stable
2002-08-20,Stable
2002-08-21,Stable
2002-08-22,Stable
2002-08-23,Stable
2002-08-26,Stable
2002-08-27,Stable
2002-08-28,Stable
2002-08-29,Stable
2002-08-30,Stable
2002-09-03,Crisis
2002-09-04,Crisis
2002-09-05,Crisis
2002-09-06,Crisis
2002-09-09,Crisis
2002-09-10,Crisis
2002-09-11,Crisis
2002-09-12,Crisis
2002-09-13,Crisis
2002-09-16,Crisis
2002-09-17,Crisis
2002-09-18,Crisis
2002-09-19,Crisis
2002-09-20,Crisis
2002-09-23,Crisis
2002-09-24,Crisis
2002-09-25,Crisis
2002-09-26,Crisis
2002-09-27,Crisis
2002-09-30,Crisis
2002-10-01,Illiquid
2002-10-02,Crisis
2002-10-03,Crisis
2002-10-04,Crisis
2002-10-07,Crisis
2002-10-08,Crisis
2002-10-09,Crisis
2002-10-10,Illiquid
2002-10-11,Illiquid
2002-10-14,Crisis
2002-10-15,Stable
2002-10-16,Stable
2002-10-17,Stable
2002-10-18,Stable
2002-10-21,Stable
2002-10-22,Stable
2002-10-23,Stable
2002-10-24,Stable
2002-10-25,Stable
2002-10-28,Stable
2002-10-29,Stable
2002-10-30,Stable
2002-10-31,Stable
2002-11-01,Stable
2002-11-04,Stable
2002-11-05,Stable
2002-11-06,Fragile
2002-11-07,Crisis
2002-11-08,Fragile
2002-11-11,Crisis
2002-11-12,Fragile
2002-11-13,Crisis
2002-11-14,Fragile
2002-11-15,Fragile
2002-11-18,Fragile
2002-11-19,Fragile
2002-11-20,Fragile
2002-11-21,Fragile
2002-11-22,Fragile
2002-11-25,Fragile
2002-11-26,Fragile
2002-11-27,Fragile
2002-11-29,Fragile
2002-12-02,Fragile
2002-12-03,Fragile
2002-12-04,Fragile
2002-12-05,Fragile
2002-12-06,Fragile
2002-12-09,Fragile
2002-12-10,Fragile
2002-12-11,Fragile
2002-12-12,Fragile
2002-12-13,Fragile
2002-12-16,Fragile
2002-12-17,Fragile
2002-12-18,Fragile
2002-12-19,Fragile
2002-12-20,Volatile
2002-12-23,Volatile
2002-12-24,Volatile
2002-12-26,Fragile
2002-12-27,Fragile
2002-12-30,Fragile
2002-12-31,Fragile
2003-01-02,Volatile
2003-01-03,Volatile
2003-01-06,RiskOn
2003-01-07,RiskOn
2003-01-08,Volatile
2003-01-09,RiskOn
2003-01-10,RiskOn
2003-01-13,RiskOn
2003-01-14,RiskOn
2003-01-15,RiskOn
2003-01-16,RiskOn
2003-01-17,RiskOn
2003-01-21,RiskOn
2003-01-22,Stable
2003-01-23,Illiquid
2003-01-24,Crisis
2003-01-27,Crisis
2003-01-28,Crisis
2003-01-29,Stable
2003-01-30,Fragile
2003-01-31,Fragile
2003-02-03,Stable
2003-02-04,Stable
2003-02-05,Stable
2003-02-06,Stable
2003-02-07,Stable
2003-02-10,Stable
2003-02-11,Fragile
2003-02-12,Fragile
2003-02-13,Fragile
2003-02-14,Fragile
2003-02-18,Fragile
2003-02-19,Fragile
2003-02-20,Crisis
2003-02-21,Crisis
2003-02-24,Crisis
2003-02-25,Crisis
2003-02-26,Crisis
2003-02-27,Crisis
2003-02-28,Crisis
2003-03-03,Crisis
2003-03-04,Crisis
